,company_name,rating,description,highly rated for,critically rated for
65,HCL Group,3.7,IT Services & Consulting | 1 Lakh+ Employees | 48 years old | Chennai +74 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
66,L&T Infotech,3.8,IT Services & Consulting | 10k-50k Employees | Public | 28 years old | Mumbai +84 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
67,Quess,4.0,BPO | 1k-5k Employees | Public | 17 years old | Bangalore +520 more,Work Life Balance,Promotions / Appraisal
68,Tata Steel,4.2,Iron & Steel | 1 Lakh+ Employees | Public | 117 years old | Mumbai +168 more,"Job Security, Skill Development / Learning, Work Life Balance",--
69,Wells Fargo,4.1,Financial Services | 10k-50k Employees | Public | 172 years old | San Francisco +20 more,"Job Security, Work Life Balance, Company Culture",--
70,Zydus Lifesciences,4.1,Pharma | 10k-50k Employees | Public | 72 years old | Ahmedabad +149 more,"Job Security, Skill Development / Learning, Salary & Benefits",--
71,Amazon Development Centre India,4.2,Internet | 10k-50k Employees | Hyderabad / Secunderabad +79 more,"Company Culture, Salary & Benefits, Work Life Balance",--
72,Delhivery,4.0,Logistics | 10k-50k Employees | Fortune India 500 | 13 years old | Delhi +623 more,Skill Development / Learning,Promotions / Appraisal
73,L&T Construction,4.1,Engineering & Construction | 5k-10k Employees | Public | 80 years old | Chennai +359 more,"Job Security, Skill Development / Learning, Salary & Benefits",--
74,JPMorgan Chase & Co.,4.1,Financial Services | 50k-1 Lakh Employees | Public | 56 years old | New York +31 more,"Job Security, Company Culture, Skill Development / Learning",--
75,Sun Pharmaceutical Industries,4.2,Pharma | 10k-50k Employees | Public | 41 years old | Mumbai +207 more,"Job Security, Salary & Benefits, Skill Development / Learning",--
76,Hindustan Unilever,4.3,FMCG | 10k-50k Employees | Public | 152 years old | London +423 more,"Skill Development / Learning, Job Security, Company Culture",--
77,FIS,3.9,FinTech | 10k-50k Employees | 56 years old | Jacksonville +45 more,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
78,ITC,4.0,FMCG | 10k-50k Employees | Public | 49 years old | Kolkata +295 more,"Job Security, Skill Development / Learning",Promotions / Appraisal
79,Udaan,4.0,1k-5k Employees | Indian Unicorn | 8 years old | Bangalore +337 more,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal"
80,Hexaware Technologies,3.7,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 34 years old | Mumbai +46 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
81,IIFL Finance,4.0,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +660 more,Salary & Benefits,--
82,JSW Steel,4.0,Iron & Steel | 10k-50k Employees | Public | 42 years old | Mumbai +142 more,"Job Security, Skill Development / Learning",Promotions / Appraisal
83,Ujjivan Small Finance Bank,4.1,Banking | 10k-50k Employees | Public | 7 years old | Bangalore/Bengaluru +438 more,"Company Culture, Job Security, Work Life Balance",--
84,Muthoot Finance,3.6,NBFC | 10k-50k Employees | Public | 85 years old | Kochi/Cochin +635 more,--,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
85,Max Life Insurance,4.2,Insurance | 10k-50k Employees | 24 years old | Gurgaon/Gurugram +393 more,"Skill Development / Learning, Company Culture, Job Security",--
86,Aurobindo Pharma,4.0,Pharma | 10k-50k Employees | Public | 38 years old | Hyderabad/Secunderabad +92 more,"Job Security, Salary & Benefits",--
87,KPMG India,3.6,Management Consulting | 10k-50k Employees | 37 years old | Bangalore / Bengaluru +76 more,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
88,Tata Projects,4.3,Engineering & Construction | 5k-10k Employees | Public | 45 years old | Mumbai +236 more,"Job Security, Company Culture, Skill Development / Learning",--
89,Shapoorji Pallonji Group,4.2,Engineering & Construction | 5k-10k Employees | Conglomerate | 159 years old | Mumbai +164 more,"Job Security, Skill Development / Learning, Company Culture",--
90,Oracle,3.8,Software Product | 50k-1 Lakh Employees | Public | 47 years old | Austin +47 more,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
91,Home Credit Finance,4.1,Financial Services | 10k-50k Employees | 12 years old | Gurugram +114 more,"Company Culture, Skill Development / Learning, Work Life Balance",--
92,eClerx,3.5,IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Mumbai +17 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
93,Apollo Hospitals,4.1,Healthcare | 10k-50k Employees | Public | 41 years old | Chennai +186 more,"Job Security, Skill Development / Learning, Company Culture",--
94,Ashok Leyland,4.1,Automobile | 5k-10k Employees | Public | 76 years old | Chennai +211 more,"Skill Development / Learning, Work Satisfaction, Company Culture",--
95,Siemens,4.2,Industrial Automation | 5k-10k Employees | Public | 177 years old | Munich +127 more,"Job Security, Company Culture, Work Life Balance",--
96,Omega Healthcare,3.8,Healthcare | 10k-50k Employees | 21 years old | Florida +45 more,--,"Promotions / Appraisal, Salary & Benefits"
97,JLL,4.2,Real Estate | 10k-50k Employees | Forbes Global 2000 | 27 years old | Mumbai +70 more,"Skill Development / Learning, Job Security, Company Culture",--
98,Megha Engineering & Infrastructures,4.1,Engineering & Construction | 5k-10k Employees | Conglomerate | 35 years old | Hyderabad/Secunderabad +294 more,"Job Security, Skill Development / Learning",Promotions / Appraisal
99,Vivo,4.1,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 15 years old | Gurgaon/Gurugram +375 more,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
100,First Source,3.8,BPO | 10k-50k Employees | Public | 23 years old | Mumbai +55 more,--,"Promotions / Appraisal, Salary & Benefits"
101,JustDial,3.6,Internet | 10k-50k Employees | Public | 28 years old | Mumbai +179 more,--,"Promotions / Appraisal, Work Satisfaction, Job Security"
102,Bajaj Allianz Life Insurance,4.1,Insurance | 10k-50k Employees | 23 years old | Pune +500 more,"Salary & Benefits, Work Life Balance, Job Security",--
103,OPPO,4.0,Consumer Electronics & Appliances | 10k-50k Employees | Public | 20 years old | Dongguan +363 more,Skill Development / Learning,Promotions / Appraisal
104,Hero MotoCorp,4.2,Automobile | 5k-10k Employees | Public | 40 years old | Gurgaon/Gurugram +316 more,"Work Life Balance, Company Culture, Job Security",--
105,Mahindra Finance,4.3,NBFC | 10k-50k Employees | Public | 33 years old | Mumbai +633 more,"Job Security, Company Culture, Work Life Balance",--
